category,value,observation_type,month,date
47.71 clothing stores,90.2,Constant prices,2016M02,2016-02-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",70.0,Constant prices,2016M02,2016-02-01
47.11+47.2 retail sale with mostly food,,Constant prices,2016M03,2016-03-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,88.5,Constant prices,2016M03,2016-03-01
47.64 sports shops,81.6,Constant prices,2016M03,2016-03-01
47.71 clothing stores,100.3,Constant prices,2016M03,2016-03-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",85.0,Constant prices,2016M03,2016-03-01
47.11+47.2 retail sale with mostly food,,Constant prices,2016M04,2016-04-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,84.3,Constant prices,2016M04,2016-04-01
47.64 sports shops,89.9,Constant prices,2016M04,2016-04-01
47.71 clothing stores,100.4,Constant prices,2016M04,2016-04-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",80.0,Constant prices,2016M04,2016-04-01
47.11+47.2 retail sale with mostly food,,Constant prices,2016M05,2016-05-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,80.4,Constant prices,2016M05,2016-05-01
47.64 sports shops,97.5,Constant prices,2016M05,2016-05-01
47.71 clothing stores,119.6,Constant prices,2016M05,2016-05-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",83.2,Constant prices,2016M05,2016-05-01
47.11+47.2 retail sale with mostly food,,Constant prices,2016M06,2016-06-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,82.6,Constant prices,2016M06,2016-06-01
47.64 sports shops,96.5,Constant prices,2016M06,2016-06-01
47.71 clothing stores,135.2,Constant prices,2016M06,2016-06-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",87.0,Constant prices,2016M06,2016-06-01
47.11+47.2 retail sale with mostly food,,Constant prices,2016M07,2016-07-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,87.2,Constant prices,2016M07,2016-07-01
47.64 sports shops,102.1,Constant prices,2016M07,2016-07-01
47.71 clothing stores,129.6,Constant prices,2016M07,2016-07-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",74.8,Constant prices,2016M07,2016-07-01
47.11+47.2 retail sale with mostly food,,Constant prices,2016M08,2016-08-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,98.1,Constant prices,2016M08,2016-08-01
47.64 sports shops,91.6,Constant prices,2016M08,2016-08-01
47.71 clothing stores,118.4,Constant prices,2016M08,2016-08-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",83.1,Constant prices,2016M08,2016-08-01
47.11+47.2 retail sale with mostly food,,Constant prices,2016M09,2016-09-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,87.2,Constant prices,2016M09,2016-09-01
47.64 sports shops,76.0,Constant prices,2016M09,2016-09-01
47.71 clothing stores,106.6,Constant prices,2016M09,2016-09-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",81.2,Constant prices,2016M09,2016-09-01
47.11+47.2 retail sale with mostly food,,Constant prices,2016M10,2016-10-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,96.4,Constant prices,2016M10,2016-10-01
47.64 sports shops,81.0,Constant prices,2016M10,2016-10-01
47.71 clothing stores,117.2,Constant prices,2016M10,2016-10-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",90.7,Constant prices,2016M10,2016-10-01
47.11+47.2 retail sale with mostly food,,Constant prices,2016M11,2016-11-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,94.8,Constant prices,2016M11,2016-11-01
47.64 sports shops,81.9,Constant prices,2016M11,2016-11-01
47.71 clothing stores,112.8,Constant prices,2016M11,2016-11-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",106.1,Constant prices,2016M11,2016-11-01
47.11+47.2 retail sale with mostly food,,Constant prices,2016M12,2016-12-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,91.3,Constant prices,2016M12,2016-12-01
47.64 sports shops,103.7,Constant prices,2016M12,2016-12-01
47.71 clothing stores,150.0,Constant prices,2016M12,2016-12-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",162.3,Constant prices,2016M12,2016-12-01
47.11+47.2 retail sale with mostly food,,Constant prices,2017M01,2017-01-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,89.8,Constant prices,2017M01,2017-01-01
47.64 sports shops,65.0,Constant prices,2017M01,2017-01-01
47.71 clothing stores,102.8,Constant prices,2017M01,2017-01-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",87.5,Constant prices,2017M01,2017-01-01
47.11+47.2 retail sale with mostly food,,Constant prices,2017M02,2017-02-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,81.1,Constant prices,2017M02,2017-02-01
47.64 sports shops,66.4,Constant prices,2017M02,2017-02-01
47.71 clothing stores,82.6,Constant prices,2017M02,2017-02-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",77.0,Constant prices,2017M02,2017-02-01
47.11+47.2 retail sale with mostly food,,Constant prices,2017M03,2017-03-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,88.8,Constant prices,2017M03,2017-03-01
47.64 sports shops,79.5,Constant prices,2017M03,2017-03-01
47.71 clothing stores,100.5,Constant prices,2017M03,2017-03-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",92.5,Constant prices,2017M03,2017-03-01
47.11+47.2 retail sale with mostly food,,Constant prices,2017M04,2017-04-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,90.1,Constant prices,2017M04,2017-04-01
47.64 sports shops,84.4,Constant prices,2017M04,2017-04-01
47.71 clothing stores,100.5,Constant prices,2017M04,2017-04-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",85.0,Constant prices,2017M04,2017-04-01
47.11+47.2 retail sale with mostly food,,Constant prices,2017M05,2017-05-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,87.6,Constant prices,2017M05,2017-05-01
47.64 sports shops,94.9,Constant prices,2017M05,2017-05-01
47.71 clothing stores,121.0,Constant prices,2017M05,2017-05-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",88.1,Constant prices,2017M05,2017-05-01
47.11+47.2 retail sale with mostly food,,Constant prices,2017M06,2017-06-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,91.0,Constant prices,2017M06,2017-06-01
47.64 sports shops,97.4,Constant prices,2017M06,2017-06-01
47.71 clothing stores,135.1,Constant prices,2017M06,2017-06-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",89.6,Constant prices,2017M06,2017-06-01
47.11+47.2 retail sale with mostly food,,Constant prices,2017M07,2017-07-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,98.4,Constant prices,2017M07,2017-07-01
47.64 sports shops,99.7,Constant prices,2017M07,2017-07-01
47.71 clothing stores,128.0,Constant prices,2017M07,2017-07-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",78.6,Constant prices,2017M07,2017-07-01
47.11+47.2 retail sale with mostly food,,Constant prices,2017M08,2017-08-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,98.9,Constant prices,2017M08,2017-08-01
47.64 sports shops,95.5,Constant prices,2017M08,2017-08-01
47.71 clothing stores,118.1,Constant prices,2017M08,2017-08-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",82.8,Constant prices,2017M08,2017-08-01
47.11+47.2 retail sale with mostly food,,Constant prices,2017M09,2017-09-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,91.5,Constant prices,2017M09,2017-09-01
47.64 sports shops,80.6,Constant prices,2017M09,2017-09-01
47.71 clothing stores,110.2,Constant prices,2017M09,2017-09-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",99.9,Constant prices,2017M09,2017-09-01
47.11+47.2 retail sale with mostly food,,Constant prices,2017M10,2017-10-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,101.9,Constant prices,2017M10,2017-10-01
47.64 sports shops,81.7,Constant prices,2017M10,2017-10-01
47.71 clothing stores,116.2,Constant prices,2017M10,2017-10-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",97.6,Constant prices,2017M10,2017-10-01
47.11+47.2 retail sale with mostly food,,Constant prices,2017M11,2017-11-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,102.9,Constant prices,2017M11,2017-11-01
47.64 sports shops,81.5,Constant prices,2017M11,2017-11-01
47.71 clothing stores,113.6,Constant prices,2017M11,2017-11-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",109.0,Constant prices,2017M11,2017-11-01
