category,value,observation_type,month,date
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",82.1,"Seasonally adjusted, working day adjusted, constant prices",2015M10,2015-10-01
47.11+47.2 retail sale with mostly food,,"Seasonally adjusted, working day adjusted, constant prices",2015M11,2015-11-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,87.1,"Seasonally adjusted, working day adjusted, constant prices",2015M11,2015-11-01
47.64 sports shops,81.8,"Seasonally adjusted, working day adjusted, constant prices",2015M11,2015-11-01
47.71 clothing stores,114.9,"Seasonally adjusted, working day adjusted, constant prices",2015M11,2015-11-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",84.3,"Seasonally adjusted, working day adjusted, constant prices",2015M11,2015-11-01
47.11+47.2 retail sale with mostly food,,"Seasonally adjusted, working day adjusted, constant prices",2015M12,2015-12-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,87.3,"Seasonally adjusted, working day adjusted, constant prices",2015M12,2015-12-01
47.64 sports shops,83.3,"Seasonally adjusted, working day adjusted, constant prices",2015M12,2015-12-01
47.71 clothing stores,119.3,"Seasonally adjusted, working day adjusted, constant prices",2015M12,2015-12-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",86.5,"Seasonally adjusted, working day adjusted, constant prices",2015M12,2015-12-01
47.11+47.2 retail sale with mostly food,,"Seasonally adjusted, working day adjusted, constant prices",2016M01,2016-01-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,85.5,"Seasonally adjusted, working day adjusted, constant prices",2016M01,2016-01-01
47.64 sports shops,86.4,"Seasonally adjusted, working day adjusted, constant prices",2016M01,2016-01-01
47.71 clothing stores,121.5,"Seasonally adjusted, working day adjusted, constant prices",2016M01,2016-01-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",85.6,"Seasonally adjusted, working day adjusted, constant prices",2016M01,2016-01-01
47.11+47.2 retail sale with mostly food,,"Seasonally adjusted, working day adjusted, constant prices",2016M02,2016-02-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,86.6,"Seasonally adjusted, working day adjusted, constant prices",2016M02,2016-02-01
47.64 sports shops,80.9,"Seasonally adjusted, working day adjusted, constant prices",2016M02,2016-02-01
47.71 clothing stores,118.6,"Seasonally adjusted, working day adjusted, constant prices",2016M02,2016-02-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",84.0,"Seasonally adjusted, working day adjusted, constant prices",2016M02,2016-02-01
47.11+47.2 retail sale with mostly food,,"Seasonally adjusted, working day adjusted, constant prices",2016M03,2016-03-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,88.8,"Seasonally adjusted, working day adjusted, constant prices",2016M03,2016-03-01
47.64 sports shops,86.1,"Seasonally adjusted, working day adjusted, constant prices",2016M03,2016-03-01
47.71 clothing stores,115.8,"Seasonally adjusted, working day adjusted, constant prices",2016M03,2016-03-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",89.8,"Seasonally adjusted, working day adjusted, constant prices",2016M03,2016-03-01
47.11+47.2 retail sale with mostly food,,"Seasonally adjusted, working day adjusted, constant prices",2016M04,2016-04-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,87.2,"Seasonally adjusted, working day adjusted, constant prices",2016M04,2016-04-01
47.64 sports shops,85.2,"Seasonally adjusted, working day adjusted, constant prices",2016M04,2016-04-01
47.71 clothing stores,108.3,"Seasonally adjusted, working day adjusted, constant prices",2016M04,2016-04-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",87.0,"Seasonally adjusted, working day adjusted, constant prices",2016M04,2016-04-01
47.11+47.2 retail sale with mostly food,,"Seasonally adjusted, working day adjusted, constant prices",2016M05,2016-05-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,85.9,"Seasonally adjusted, working day adjusted, constant prices",2016M05,2016-05-01
47.64 sports shops,87.8,"Seasonally adjusted, working day adjusted, constant prices",2016M05,2016-05-01
47.71 clothing stores,114.5,"Seasonally adjusted, working day adjusted, constant prices",2016M05,2016-05-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",89.1,"Seasonally adjusted, working day adjusted, constant prices",2016M05,2016-05-01
47.11+47.2 retail sale with mostly food,,"Seasonally adjusted, working day adjusted, constant prices",2016M06,2016-06-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,86.4,"Seasonally adjusted, working day adjusted, constant prices",2016M06,2016-06-01
47.64 sports shops,86.9,"Seasonally adjusted, working day adjusted, constant prices",2016M06,2016-06-01
47.71 clothing stores,116.0,"Seasonally adjusted, working day adjusted, constant prices",2016M06,2016-06-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",90.3,"Seasonally adjusted, working day adjusted, constant prices",2016M06,2016-06-01
47.11+47.2 retail sale with mostly food,,"Seasonally adjusted, working day adjusted, constant prices",2016M07,2016-07-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,85.0,"Seasonally adjusted, working day adjusted, constant prices",2016M07,2016-07-01
47.64 sports shops,87.2,"Seasonally adjusted, working day adjusted, constant prices",2016M07,2016-07-01
47.71 clothing stores,117.4,"Seasonally adjusted, working day adjusted, constant prices",2016M07,2016-07-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",90.1,"Seasonally adjusted, working day adjusted, constant prices",2016M07,2016-07-01
47.11+47.2 retail sale with mostly food,,"Seasonally adjusted, working day adjusted, constant prices",2016M08,2016-08-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,92.9,"Seasonally adjusted, working day adjusted, constant prices",2016M08,2016-08-01
47.64 sports shops,84.7,"Seasonally adjusted, working day adjusted, constant prices",2016M08,2016-08-01
47.71 clothing stores,112.5,"Seasonally adjusted, working day adjusted, constant prices",2016M08,2016-08-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",92.5,"Seasonally adjusted, working day adjusted, constant prices",2016M08,2016-08-01
47.11+47.2 retail sale with mostly food,,"Seasonally adjusted, working day adjusted, constant prices",2016M09,2016-09-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,87.8,"Seasonally adjusted, working day adjusted, constant prices",2016M09,2016-09-01
47.64 sports shops,82.9,"Seasonally adjusted, working day adjusted, constant prices",2016M09,2016-09-01
47.71 clothing stores,109.1,"Seasonally adjusted, working day adjusted, constant prices",2016M09,2016-09-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",82.3,"Seasonally adjusted, working day adjusted, constant prices",2016M09,2016-09-01
47.11+47.2 retail sale with mostly food,,"Seasonally adjusted, working day adjusted, constant prices",2016M10,2016-10-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,88.8,"Seasonally adjusted, working day adjusted, constant prices",2016M10,2016-10-01
47.64 sports shops,86.6,"Seasonally adjusted, working day adjusted, constant prices",2016M10,2016-10-01
47.71 clothing stores,117.1,"Seasonally adjusted, working day adjusted, constant prices",2016M10,2016-10-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",92.9,"Seasonally adjusted, working day adjusted, constant prices",2016M10,2016-10-01
47.11+47.2 retail sale with mostly food,,"Seasonally adjusted, working day adjusted, constant prices",2016M11,2016-11-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,87.5,"Seasonally adjusted, working day adjusted, constant prices",2016M11,2016-11-01
47.64 sports shops,89.2,"Seasonally adjusted, working day adjusted, constant prices",2016M11,2016-11-01
47.71 clothing stores,120.1,"Seasonally adjusted, working day adjusted, constant prices",2016M11,2016-11-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",96.0,"Seasonally adjusted, working day adjusted, constant prices",2016M11,2016-11-01
47.11+47.2 retail sale with mostly food,,"Seasonally adjusted, working day adjusted, constant prices",2016M12,2016-12-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,88.4,"Seasonally adjusted, working day adjusted, constant prices",2016M12,2016-12-01
47.64 sports shops,82.8,"Seasonally adjusted, working day adjusted, constant prices",2016M12,2016-12-01
47.71 clothing stores,115.5,"Seasonally adjusted, working day adjusted, constant prices",2016M12,2016-12-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",91.7,"Seasonally adjusted, working day adjusted, constant prices",2016M12,2016-12-01
47.11+47.2 retail sale with mostly food,,"Seasonally adjusted, working day adjusted, constant prices",2017M01,2017-01-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,90.7,"Seasonally adjusted, working day adjusted, constant prices",2017M01,2017-01-01
47.64 sports shops,85.1,"Seasonally adjusted, working day adjusted, constant prices",2017M01,2017-01-01
47.71 clothing stores,115.9,"Seasonally adjusted, working day adjusted, constant prices",2017M01,2017-01-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",99.7,"Seasonally adjusted, working day adjusted, constant prices",2017M01,2017-01-01
47.11+47.2 retail sale with mostly food,,"Seasonally adjusted, working day adjusted, constant prices",2017M02,2017-02-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,93.2,"Seasonally adjusted, working day adjusted, constant prices",2017M02,2017-02-01
47.64 sports shops,89.7,"Seasonally adjusted, working day adjusted, constant prices",2017M02,2017-02-01
47.71 clothing stores,112.3,"Seasonally adjusted, working day adjusted, constant prices",2017M02,2017-02-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",96.8,"Seasonally adjusted, working day adjusted, constant prices",2017M02,2017-02-01
47.11+47.2 retail sale with mostly food,,"Seasonally adjusted, working day adjusted, constant prices",2017M03,2017-03-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,86.9,"Seasonally adjusted, working day adjusted, constant prices",2017M03,2017-03-01
47.64 sports shops,84.8,"Seasonally adjusted, working day adjusted, constant prices",2017M03,2017-03-01
47.71 clothing stores,112.4,"Seasonally adjusted, working day adjusted, constant prices",2017M03,2017-03-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",95.0,"Seasonally adjusted, working day adjusted, constant prices",2017M03,2017-03-01
47.11+47.2 retail sale with mostly food,,"Seasonally adjusted, working day adjusted, constant prices",2017M04,2017-04-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,94.0,"Seasonally adjusted, working day adjusted, constant prices",2017M04,2017-04-01
47.64 sports shops,82.0,"Seasonally adjusted, working day adjusted, constant prices",2017M04,2017-04-01
47.71 clothing stores,113.4,"Seasonally adjusted, working day adjusted, constant prices",2017M04,2017-04-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",95.6,"Seasonally adjusted, working day adjusted, constant prices",2017M04,2017-04-01
47.11+47.2 retail sale with mostly food,,"Seasonally adjusted, working day adjusted, constant prices",2017M05,2017-05-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,93.3,"Seasonally adjusted, working day adjusted, constant prices",2017M05,2017-05-01
47.64 sports shops,83.7,"Seasonally adjusted, working day adjusted, constant prices",2017M05,2017-05-01
47.71 clothing stores,113.2,"Seasonally adjusted, working day adjusted, constant prices",2017M05,2017-05-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",93.5,"Seasonally adjusted, working day adjusted, constant prices",2017M05,2017-05-01
47.11+47.2 retail sale with mostly food,,"Seasonally adjusted, working day adjusted, constant prices",2017M06,2017-06-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,95.4,"Seasonally adjusted, working day adjusted, constant prices",2017M06,2017-06-01
47.64 sports shops,86.6,"Seasonally adjusted, working day adjusted, constant prices",2017M06,2017-06-01
47.71 clothing stores,116.1,"Seasonally adjusted, working day adjusted, constant prices",2017M06,2017-06-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",94.1,"Seasonally adjusted, working day adjusted, constant prices",2017M06,2017-06-01
47.11+47.2 retail sale with mostly food,,"Seasonally adjusted, working day adjusted, constant prices",2017M07,2017-07-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,96.8,"Seasonally adjusted, working day adjusted, constant prices",2017M07,2017-07-01
47.64 sports shops,85.0,"Seasonally adjusted, working day adjusted, constant prices",2017M07,2017-07-01
47.71 clothing stores,116.3,"Seasonally adjusted, working day adjusted, constant prices",2017M07,2017-07-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",94.2,"Seasonally adjusted, working day adjusted, constant prices",2017M07,2017-07-01
47.11+47.2 retail sale with mostly food,,"Seasonally adjusted, working day adjusted, constant prices",2017M08,2017-08-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,92.9,"Seasonally adjusted, working day adjusted, constant prices",2017M08,2017-08-01
47.64 sports shops,87.9,"Seasonally adjusted, working day adjusted, constant prices",2017M08,2017-08-01
47.71 clothing stores,112.1,"Seasonally adjusted, working day adjusted, constant prices",2017M08,2017-08-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",93.3,"Seasonally adjusted, working day adjusted, constant prices",2017M08,2017-08-01
47.11+47.2 retail sale with mostly food,,"Seasonally adjusted, working day adjusted, constant prices",2017M09,2017-09-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,92.2,"Seasonally adjusted, working day adjusted, constant prices",2017M09,2017-09-01
47.64 sports shops,87.7,"Seasonally adjusted, working day adjusted, constant prices",2017M09,2017-09-01
47.71 clothing stores,112.5,"Seasonally adjusted, working day adjusted, constant prices",2017M09,2017-09-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",99.6,"Seasonally adjusted, working day adjusted, constant prices",2017M09,2017-09-01
47.11+47.2 retail sale with mostly food,,"Seasonally adjusted, working day adjusted, constant prices",2017M10,2017-10-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,94.9,"Seasonally adjusted, working day adjusted, constant prices",2017M10,2017-10-01
47.64 sports shops,86.5,"Seasonally adjusted, working day adjusted, constant prices",2017M10,2017-10-01
47.71 clothing stores,115.4,"Seasonally adjusted, working day adjusted, constant prices",2017M10,2017-10-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",97.4,"Seasonally adjusted, working day adjusted, constant prices",2017M10,2017-10-01
47.11+47.2 retail sale with mostly food,,"Seasonally adjusted, working day adjusted, constant prices",2017M11,2017-11-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,95.0,"Seasonally adjusted, working day adjusted, constant prices",2017M11,2017-11-01
47.64 sports shops,88.1,"Seasonally adjusted, working day adjusted, constant prices",2017M11,2017-11-01
47.71 clothing stores,119.4,"Seasonally adjusted, working day adjusted, constant prices",2017M11,2017-11-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",97.1,"Seasonally adjusted, working day adjusted, constant prices",2017M11,2017-11-01
47.11+47.2 retail sale with mostly food,,"Seasonally adjusted, working day adjusted, constant prices",2017M12,2017-12-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,95.9,"Seasonally adjusted, working day adjusted, constant prices",2017M12,2017-12-01
47.64 sports shops,88.8,"Seasonally adjusted, working day adjusted, constant prices",2017M12,2017-12-01
47.71 clothing stores,116.6,"Seasonally adjusted, working day adjusted, constant prices",2017M12,2017-12-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",97.6,"Seasonally adjusted, working day adjusted, constant prices",2017M12,2017-12-01
47.11+47.2 retail sale with mostly food,,"Seasonally adjusted, working day adjusted, constant prices",2018M01,2018-01-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,97.4,"Seasonally adjusted, working day adjusted, constant prices",2018M01,2018-01-01
47.64 sports shops,87.6,"Seasonally adjusted, working day adjusted, constant prices",2018M01,2018-01-01
47.71 clothing stores,110.5,"Seasonally adjusted, working day adjusted, constant prices",2018M01,2018-01-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",102.8,"Seasonally adjusted, working day adjusted, constant prices",2018M01,2018-01-01
47.11+47.2 retail sale with mostly food,,"Seasonally adjusted, working day adjusted, constant prices",2018M02,2018-02-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,94.1,"Seasonally adjusted, working day adjusted, constant prices",2018M02,2018-02-01
47.64 sports shops,91.0,"Seasonally adjusted, working day adjusted, constant prices",2018M02,2018-02-01
47.71 clothing stores,103.3,"Seasonally adjusted, working day adjusted, constant prices",2018M02,2018-02-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",93.8,"Seasonally adjusted, working day adjusted, constant prices",2018M02,2018-02-01
47.11+47.2 retail sale with mostly food,,"Seasonally adjusted, working day adjusted, constant prices",2018M03,2018-03-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,94.1,"Seasonally adjusted, working day adjusted, constant prices",2018M03,2018-03-01
47.64 sports shops,86.5,"Seasonally adjusted, working day adjusted, constant prices",2018M03,2018-03-01
47.71 clothing stores,111.5,"Seasonally adjusted, working day adjusted, constant prices",2018M03,2018-03-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",99.8,"Seasonally adjusted, working day adjusted, constant prices",2018M03,2018-03-01
47.11+47.2 retail sale with mostly food,,"Seasonally adjusted, working day adjusted, constant prices",2018M04,2018-04-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,93.3,"Seasonally adjusted, working day adjusted, constant prices",2018M04,2018-04-01
47.64 sports shops,92.0,"Seasonally adjusted, working day adjusted, constant prices",2018M04,2018-04-01
47.71 clothing stores,122.9,"Seasonally adjusted, working day adjusted, constant prices",2018M04,2018-04-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",98.6,"Seasonally adjusted, working day adjusted, constant prices",2018M04,2018-04-01
47.11+47.2 retail sale with mostly food,,"Seasonally adjusted, working day adjusted, constant prices",2018M05,2018-05-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,87.8,"Seasonally adjusted, working day adjusted, constant prices",2018M05,2018-05-01
47.64 sports shops,91.3,"Seasonally adjusted, working day adjusted, constant prices",2018M05,2018-05-01
47.71 clothing stores,115.2,"Seasonally adjusted, working day adjusted, constant prices",2018M05,2018-05-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",98.1,"Seasonally adjusted, working day adjusted, constant prices",2018M05,2018-05-01
47.11+47.2 retail sale with mostly food,,"Seasonally adjusted, working day adjusted, constant prices",2018M06,2018-06-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,91.1,"Seasonally adjusted, working day adjusted, constant prices",2018M06,2018-06-01
47.64 sports shops,85.8,"Seasonally adjusted, working day adjusted, constant prices",2018M06,2018-06-01
47.71 clothing stores,112.5,"Seasonally adjusted, working day adjusted, constant prices",2018M06,2018-06-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",97.8,"Seasonally adjusted, working day adjusted, constant prices",2018M06,2018-06-01
47.11+47.2 retail sale with mostly food,,"Seasonally adjusted, working day adjusted, constant prices",2018M07,2018-07-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,88.6,"Seasonally adjusted, working day adjusted, constant prices",2018M07,2018-07-01
47.64 sports shops,86.0,"Seasonally adjusted, working day adjusted, constant prices",2018M07,2018-07-01
47.71 clothing stores,112.3,"Seasonally adjusted, working day adjusted, constant prices",2018M07,2018-07-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",86.4,"Seasonally adjusted, working day adjusted, constant prices",2018M07,2018-07-01
47.11+47.2 retail sale with mostly food,,"Seasonally adjusted, working day adjusted, constant prices",2018M08,2018-08-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,94.6,"Seasonally adjusted, working day adjusted, constant prices",2018M08,2018-08-01
47.64 sports shops,95.4,"Seasonally adjusted, working day adjusted, constant prices",2018M08,2018-08-01
47.71 clothing stores,116.4,"Seasonally adjusted, working day adjusted, constant prices",2018M08,2018-08-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",92.1,"Seasonally adjusted, working day adjusted, constant prices",2018M08,2018-08-01
47.11+47.2 retail sale with mostly food,,"Seasonally adjusted, working day adjusted, constant prices",2018M09,2018-09-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,96.1,"Seasonally adjusted, working day adjusted, constant prices",2018M09,2018-09-01
47.64 sports shops,87.4,"Seasonally adjusted, working day adjusted, constant prices",2018M09,2018-09-01
47.71 clothing stores,114.0,"Seasonally adjusted, working day adjusted, constant prices",2018M09,2018-09-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",97.1,"Seasonally adjusted, working day adjusted, constant prices",2018M09,2018-09-01
47.11+47.2 retail sale with mostly food,,"Seasonally adjusted, working day adjusted, constant prices",2018M10,2018-10-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,93.1,"Seasonally adjusted, working day adjusted, constant prices",2018M10,2018-10-01
47.64 sports shops,86.3,"Seasonally adjusted, working day adjusted, constant prices",2018M10,2018-10-01
47.71 clothing stores,111.9,"Seasonally adjusted, working day adjusted, constant prices",2018M10,2018-10-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",97.5,"Seasonally adjusted, working day adjusted, constant prices",2018M10,2018-10-01
47.11+47.2 retail sale with mostly food,,"Seasonally adjusted, working day adjusted, constant prices",2018M11,2018-11-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,96.5,"Seasonally adjusted, working day adjusted, constant prices",2018M11,2018-11-01
47.64 sports shops,88.8,"Seasonally adjusted, working day adjusted, constant prices",2018M11,2018-11-01
47.71 clothing stores,111.1,"Seasonally adjusted, working day adjusted, constant prices",2018M11,2018-11-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",94.0,"Seasonally adjusted, working day adjusted, constant prices",2018M11,2018-11-01
47.11+47.2 retail sale with mostly food,,"Seasonally adjusted, working day adjusted, constant prices",2018M12,2018-12-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,94.4,"Seasonally adjusted, working day adjusted, constant prices",2018M12,2018-12-01
47.64 sports shops,90.8,"Seasonally adjusted, working day adjusted, constant prices",2018M12,2018-12-01
47.71 clothing stores,114.3,"Seasonally adjusted, working day adjusted, constant prices",2018M12,2018-12-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",98.2,"Seasonally adjusted, working day adjusted, constant prices",2018M12,2018-12-01
47.11+47.2 retail sale with mostly food,,"Seasonally adjusted, working day adjusted, constant prices",2019M01,2019-01-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,93.7,"Seasonally adjusted, working day adjusted, constant prices",2019M01,2019-01-01
47.64 sports shops,93.6,"Seasonally adjusted, working day adjusted, constant prices",2019M01,2019-01-01
47.71 clothing stores,114.9,"Seasonally adjusted, working day adjusted, constant prices",2019M01,2019-01-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",94.4,"Seasonally adjusted, working day adjusted, constant prices",2019M01,2019-01-01
47.11+47.2 retail sale with mostly food,,"Seasonally adjusted, working day adjusted, constant prices",2019M02,2019-02-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,93.8,"Seasonally adjusted, working day adjusted, constant prices",2019M02,2019-02-01
47.64 sports shops,86.2,"Seasonally adjusted, working day adjusted, constant prices",2019M02,2019-02-01
47.71 clothing stores,118.2,"Seasonally adjusted, working day adjusted, constant prices",2019M02,2019-02-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",93.4,"Seasonally adjusted, working day adjusted, constant prices",2019M02,2019-02-01
47.11+47.2 retail sale with mostly food,,"Seasonally adjusted, working day adjusted, constant prices",2019M03,2019-03-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,95.5,"Seasonally adjusted, working day adjusted, constant prices",2019M03,2019-03-01
47.64 sports shops,88.7,"Seasonally adjusted, working day adjusted, constant prices",2019M03,2019-03-01
47.71 clothing stores,117.5,"Seasonally adjusted, working day adjusted, constant prices",2019M03,2019-03-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",99.3,"Seasonally adjusted, working day adjusted, constant prices",2019M03,2019-03-01
47.11+47.2 retail sale with mostly food,,"Seasonally adjusted, working day adjusted, constant prices",2019M04,2019-04-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,95.8,"Seasonally adjusted, working day adjusted, constant prices",2019M04,2019-04-01
47.64 sports shops,91.8,"Seasonally adjusted, working day adjusted, constant prices",2019M04,2019-04-01
47.71 clothing stores,120.2,"Seasonally adjusted, working day adjusted, constant prices",2019M04,2019-04-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",100.3,"Seasonally adjusted, working day adjusted, constant prices",2019M04,2019-04-01
47.11+47.2 retail sale with mostly food,,"Seasonally adjusted, working day adjusted, constant prices",2019M05,2019-05-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,96.5,"Seasonally adjusted, working day adjusted, constant prices",2019M05,2019-05-01
47.64 sports shops,85.6,"Seasonally adjusted, working day adjusted, constant prices",2019M05,2019-05-01
47.71 clothing stores,110.7,"Seasonally adjusted, working day adjusted, constant prices",2019M05,2019-05-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",96.7,"Seasonally adjusted, working day adjusted, constant prices",2019M05,2019-05-01
47.11+47.2 retail sale with mostly food,,"Seasonally adjusted, working day adjusted, constant prices",2019M06,2019-06-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,94.6,"Seasonally adjusted, working day adjusted, constant prices",2019M06,2019-06-01
47.64 sports shops,89.5,"Seasonally adjusted, working day adjusted, constant prices",2019M06,2019-06-01
47.71 clothing stores,116.6,"Seasonally adjusted, working day adjusted, constant prices",2019M06,2019-06-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",92.6,"Seasonally adjusted, working day adjusted, constant prices",2019M06,2019-06-01
47.11+47.2 retail sale with mostly food,,"Seasonally adjusted, working day adjusted, constant prices",2019M07,2019-07-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,98.3,"Seasonally adjusted, working day adjusted, constant prices",2019M07,2019-07-01
47.64 sports shops,90.7,"Seasonally adjusted, working day adjusted, constant prices",2019M07,2019-07-01
47.71 clothing stores,118.2,"Seasonally adjusted, working day adjusted, constant prices",2019M07,2019-07-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",92.5,"Seasonally adjusted, working day adjusted, constant prices",2019M07,2019-07-01
47.11+47.2 retail sale with mostly food,,"Seasonally adjusted, working day adjusted, constant prices",2019M08,2019-08-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,99.0,"Seasonally adjusted, working day adjusted, constant prices",2019M08,2019-08-01
47.64 sports shops,91.3,"Seasonally adjusted, working day adjusted, constant prices",2019M08,2019-08-01
47.71 clothing stores,116.8,"Seasonally adjusted, working day adjusted, constant prices",2019M08,2019-08-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",95.8,"Seasonally adjusted, working day adjusted, constant prices",2019M08,2019-08-01
47.11+47.2 retail sale with mostly food,,"Seasonally adjusted, working day adjusted, constant prices",2019M09,2019-09-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,96.0,"Seasonally adjusted, working day adjusted, constant prices",2019M09,2019-09-01
47.64 sports shops,93.3,"Seasonally adjusted, working day adjusted, constant prices",2019M09,2019-09-01
47.71 clothing stores,117.9,"Seasonally adjusted, working day adjusted, constant prices",2019M09,2019-09-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",94.8,"Seasonally adjusted, working day adjusted, constant prices",2019M09,2019-09-01
47.11+47.2 retail sale with mostly food,,"Seasonally adjusted, working day adjusted, constant prices",2019M10,2019-10-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,97.5,"Seasonally adjusted, working day adjusted, constant prices",2019M10,2019-10-01
47.64 sports shops,93.4,"Seasonally adjusted, working day adjusted, constant prices",2019M10,2019-10-01
47.71 clothing stores,113.8,"Seasonally adjusted, working day adjusted, constant prices",2019M10,2019-10-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",92.2,"Seasonally adjusted, working day adjusted, constant prices",2019M10,2019-10-01
47.11+47.2 retail sale with mostly food,,"Seasonally adjusted, working day adjusted, constant prices",2019M11,2019-11-01
